Car Count,Vehicle ID,Name,Model,Year,Stock Number,Mileage,Fuel Type,MPG City,MPG Highway,Vehicle Type,Price
161,KNDJ23AU4M7750709,Kia,Kia Soul,2021,7TRKG8,60427,Gasoline,29,35,Hatchback,"17,499"
162,KNDJ23AU1L7017645,Kia,Kia Soul,2020,8D06W8,60375,Gasoline,0,0,Hatchback,"17,999"
163,KM8K12AA9MU637665,Hyundai,Hyundai Kona,2021,7T4FPW,63558,Gasoline,27,33,Crossover,"17,999"
164,3KPF24AD5LE205998,Kia,Kia Forte,2020,7VVY5X,67738,Gasoline,29,40,Sedan,"17,999"
165,5XXGT4L37LG428704,Kia,Kia Optima,2020,7T1JTK,61310,Gasoline,24,32,Sedan,"18,499"
166,3C4PDCGB5LT265807,Dodge,Dodge Journey,2020,7TKGXH,63430,Gasoline,19,25,Crossover,"18,999"
167,5XXGT4L31LG413745,Kia,Kia Optima,2020,7TT284,60633,Gasoline,24,32,Sedan,"19,499"
168,2C4RDGCG8KR772123,Dodge,Dodge Grand Caravan,2019,7S8J6W,65525,Gasoline,17,25,Van / Minivan,"19,499"
169,5YFEPMAE5MP188304,Toyota,Toyota Corolla,2021,7V008X,68493,Gasoline,30,38,Sedan,"19,499"
170,3C4PDCBG0KT860887,Dodge,Dodge Journey,2019,8F82VL,45490,Gasoline,19,25,Crossover,"19,999"
171,5NPEG4JA1MH077050,Hyundai,Hyundai Sonata,2021,7TD133,62666,Gasoline,28,38,Sedan,"19,999"
172,1N4BL4DV0MN324139,Nissan,Nissan Altima,2021,8CSH7L,60448,Gasoline,27,37,Sedan,"20,499"
173,1VWSA7A32MC012885,Volkswagen,Volkswagen Passat,2021,7V1CBL,61620,Gasoline,24,36,Sedan,"20,499"
174,1VWSA7A39MC000099,Volkswagen,Volkswagen Passat,2021,7T2M4M,66965,Gasoline,24,36,Sedan,"20,499"
175,3FA6P0D93LR152962,Ford,Ford Fusion,2020,7TVH6R,66473,Gasoline,20,29,Sedan,"20,999"
176,5N1AT2MV3KC770008,Nissan,Nissan Rogue,2019,8F30FH,50122,Gasoline,25,32,Crossover,"22,499"
177,1N4BL4BVXNN310186,Nissan,Nissan Altima,2022,8F23WG,28591,Gasoline,28,39,Sedan,"22,999"
178,1N4AA6CV8MC506956,Nissan,Nissan Maxima,2021,7VLM5R,61806,Gasoline,20,30,Sedan,"23,999"
179,5N1AT3BB8MC767364,Nissan,Nissan Rogue,2021,8CBKFP,61127,Gasoline,25,32,Crossover,"24,999"
180,5N1AT3BB2MC704552,Nissan,Nissan Rogue,2021,8CC95P,64158,Gasoline,25,32,Crossover,"24,999"
181,5N1AT3BB5MC736184,Nissan,Nissan Rogue,2021,8CW6DL,67175,Gasoline,25,32,Crossover,"24,999"
182,4T1C11AK5NU667089,Toyota,Toyota Camry,2022,8F39WG,31520,Gasoline,28,39,Sedan,"26,499"
183,2C4RC1BG5MR574605,Chrysler,Chrysler Pacifica,2021,7VRP7X,70836,Gasoline,19,28,Van / Minivan,"26,499"
184,2C4RC1BG1MR542671,Chrysler,Chrysler Pacifica,2021,7VVQ9Q,69557,Gasoline,19,28,Van / Minivan,"26,999"
185,1GYFZDR46KF120750,Cadillac,Cadillac XT4,2019,8DKPP9,62423,Gasoline,22,29,Sport Utility,"27,499"
186,4T1C11AK5NU715996,Toyota,Toyota Camry,2022,8F26DH,18986,Gasoline,28,39,Sedan,"27,999"
187,1GYFZDR49MF067867,Cadillac,Cadillac XT4,2021,7V3BNW,65064,Gasoline,22,29,Sport Utility,"28,999"
188,1GCRYDED9LZ159585,Chevrolet,Chevrolet Silverado 1500,2020,7TRWVX,61319,Gasoline,16,22,Truck,"32,999"
189,JN8AY2BB0M9791773,Nissan,Nissan Armada,2021,8CN3JN,81050,Gasoline,13,18,Sport Utility,"34,499"
190,5TFCZ5ANXMX266956,Toyota,Toyota Tacoma 4WD,2021,8CSW14,63046,Gasoline,18,22,Truck,"35,999"
191,1GCUYDED6MZ252821,Chevrolet,Chevrolet Silverado 1500,2021,7VML5Q,60388,Gasoline,16,22,Truck,"37,499"
192,KL8CD6SAXMC715083,Chevrolet,Chevrolet Spark,2021,7TL869,62508,Gasoline,30,38,Hatchback,"14,999"
193,3KPC24A66LE114663,Hyundai,Hyundai Accent,2020,7TJM3P,61412,Gasoline,33,41,Sedan,"15,999"
194,KNDJ23AU2L7057507,Kia,Kia Soul,2020,7TP606,65148,Gasoline,29,35,Hatchback,"16,999"
195,3VWCB7BU0LM011868,Volkswagen,Volkswagen Jetta,2020,7TYVS4,60555,Gasoline,30,40,Sedan,"17,999"
196,2C4RDGEG3KR723375,Dodge,Dodge Grand Caravan,2019,8D4B6T,75217,Gasoline,17,25,Van / Minivan,"18,299"
197,JN1BJ1AV2MW562753,Nissan,Nissan Rogue Sport,2021,8C411L,65953,Gasoline,25,32,Crossover,"18,499"
198,3C4PDCGB9LT267530,Dodge,Dodge Journey,2020,7TG3BT,63838,Gasoline,19,25,Crossover,"18,999"
199,3C4PDCGB5LT263071,Dodge,Dodge Journey,2020,7TY5X0,65851,Gasoline,19,25,Crossover,"19,499"
200,JN1BJ1AW5MW661091,Nissan,Nissan Rogue Sport,2021,8CWKWD,61203,Gasoline,24,30,Crossover,"19,999"
201,1N4BL4DV0MN316283,Nissan,Nissan Altima,2021,8CJH2L,71942,Gasoline,27,37,Sedan,"19,999"
